1.024999999999999911e+00 3.559257566666666523e-04
1.050000000000000044e+00 2.379092620000000744e-03
1.100000000000000089e+00 2.503369011666667018e-02
1.149999999999999911e+00 6.194782143999999491e-02
1.199999999999999956e+00 1.043206730300000051e-01
1.250000000000000000e+00 1.708767713166666480e-01
1.300000000000000044e+00 2.244654795533333191e-01
1.399999999999999911e+00 3.075027453599999960e-01
1.500000000000000000e+00 3.958501130181250049e-01
1.600000000000000089e+00 4.396014051273333667e-01
1.699999999999999956e+00 4.918954971893333417e-01
1.800000000000000044e+00 5.290832317433333820e-01
1.899999999999999911e+00 5.673504968860001441e-01
2.000000000000000000e+00 5.930143922343749097e-01
